,Hosmer George,,1887,Allen & Ginter World Champions N28,17,RC,Oarsman,90,25,,TRUE,OS,,PSA 2,,C,,,
,Bender,,1909,T206 White Border,32,No trees Polar Bear,Philadelphia Athletics,100,54,,TRUE,BS,,PSA 3,,C,,,
,Cicotte,,1909,Philadelphia Caramel E95,4,RC,Boston Red Sox,400,132,,TRUE,BS,BRS,EX ET,CBS,C,,1,
,Jennings,,1909,T206 White Border,228,P/MG Portrait,Detroit Tigers,400,59,,TRUE,BS,,VG-EX ET,,C,,,
,Wallace B.,,1909,T206 White Border,487,,St. Louis Browns,400,75,,TRUE,BS,,EX+ ET,,C,,,
Team,University of Vermont,,1910,T51 Murad Cigarettes College Series,1001,Discus Thrower,Vermont Catamounts (NCAA),20,12,,TRUE,OS,UVM,PSA 4,,C,,,
Team,University of Vermont,,1910,T51 Murad Cigarettes College Series,1002,Discus Thrower,Vermont Catamounts (NCAA),20,5.99,,TRUE,OS,UVM,P,,C,,,
,Cicotte,,1911,T201 Mecca Double Folders,15,w/Thoney,Boston Red Sox,95,140.8,,TRUE,BS,BRS,PSA 4,CBS,C,,,
,Bresnahan,,1912,T207 Brown Background,19,,St. Louis Cardinals,200,55,,TRUE,BS,,VG ET,,C,,,
,Sisler,,1922,American Caramel E120,202,,St. Louis Browns,250,65,,TRUE,BS,,EXMT ET,,C,,,
,Campbell LT Douglas,,1933,National Chicle Sky Birds,17,RC 1st US WWI Ace,Aviator,15,6,,TRUE,NS,,PSA 3 MK,,C,,,
,Herman Bill,,1933,Goudey,227,,Chicago Cubs,80,38.25,,TRUE,BS,,PSA 3,,C,,,
,Hogan Frank,,1934,Goudey,20,,Boston Braves,75,18,,TRUE,BS,,PSA 4,,C,,,
,Bottomley,,1935,Goudey,1,w/Adams/Comorosky/Piet,Cincinnati Reds,75,20,,TRUE,BS,CR,PSA 5,,C,,,
,Fox Irwin,,1939,Play Ball,80,,Detroit Tigers,24,9.95,,TRUE,BS,,PSA 6,,C,,,
,Greenberg,,1939,Play Ball,56,Upper case,Detroit Tigers,160,71,,TRUE,BS,,PSA 6,,C,,,
,Meyer Buddy,,1939,Play Ball,100,,Washington Senators,24,6.85,,TRUE,BS,,PSA 4,,C,,,
,Stark Dolly,,1939,Play Ball,106,UMP,MLB Umpire,35,8.95,,TRUE,BS,,PSA 5,,C,,,
,Travis Cecil,,1939,Play Ball,114,,Washington Senators,24,14,,TRUE,BS,,PSA 6,,C,,,
,Trotter William,,1939,Play Ball,148,,St. Louis Browns,55,22.5,,TRUE,BS,,PSA 5,,C,,,
,Vaughan Arky,,1939,Play Ball,55,Upper case,Pittsburgh Pirates,80,16.6,,TRUE,BS,,PSA 6,,C,,,
,Waner Paul,,1939,Play Ball,112,Upper case,Pittsburgh Pirates,45,27,,TRUE,BS,,PSA 4,,C,,,
,Alexander G.C.,,1940,Play Ball,119,Retired,Philadelphia Phillies,145,49,,TRUE,BS,,PSA 6,,C,,,
,Case G.,,1940,Play Ball,15,,Washington Senators,50,22.05,,TRUE,BS,,PSA 7,,C,,,
,Chase K.,,1940,Play Ball,19,,Washington Senators,30,10.75,,TRUE,BS,,PSA 6,,C,,,
,Cronin,,1940,Play Ball,134,P/MG,Boston Red Sox,135,55,,TRUE,BS,BRS,PSA 7,,C,,,
,Frisch,,1940,Play Ball,167,Retired,St. Louis Cardinals,50,35,,TRUE,BS,,PSA 5,,C,,,
,Milan C.,,1940,Play Ball,130,Retired,Washington Senators,50,10.75,,TRUE,BS,,PSA 7,,C,,,
,Warstler,,1940,Play Ball,59,,Boston Bees,38,16.05,,TRUE,BS,,PSA 7 MK,,C,,,
,Weatherly Stormy,,1941,Play Ball,17,,Cleveland Indians,30,20,,TRUE,BS,,PSA 5,,C,,,
,Patton Gen. George S.,,1943,Time,0,Apr. 12 1943,USA,40,20,,TRUE,NS,,EX,,M,,,
,O'Ree,,1944,Beehive Group II Photos 1944-63,53,XRC,Boston Bruins,12,10,,TRUE,HO,BBR,NRMT,,C,,,
,Lujack,,1947,Life,0,Sept. 29 1947,Notre Dame Fightin' Irish,10,6,,TRUE,FB,ND,EX,HT,M,,,
,Adams John,,1948,Bowman,94,RC,Washington Redskins,8,5,,TRUE,FB,ND,PSA 4,WR,C,,,
,Angsman,,1948,Leaf,25,RC,Chicago Cardinals,20,8,,TRUE,FB,ND,PSA 4,,C,,,
,Banta,,1948,Bowman,89,RC,Los Angeles Rams,25,2.6,,TRUE,FB,,MC,,C,,,
,Brennan Terry,,1948,Leaf,11,RC,Notre Dame Fightin' Irish,25,10,,TRUE,FB,ND,PSA 5,,C,,,
,Connor George,,1948,Leaf,37,RC,Chicago Bears,35,16.5,,TRUE,FB,ND,PSA 4,,C,,,
,Cowhig,,1948,Bowman,51,RC SP,Los Angeles Rams,25,13.8,,TRUE,FB,ND,PSA 4,,C,,,
,Dancewicz,,1948,Leaf,38,RC,Boston Yanks,45,18.5,,TRUE,FB,ND,PSA 6,,C,,,
,Ehlers Eddie,,1948,Bowman,19,RC,Boston Celtics,20,12.05,,TRUE,BK,BC,PSA 4,,C,,,
,Fischer,,1948,Leaf,7,RC,Notre Dame Fightin' Irish,25,22.5,,TRUE,FB,ND,PSA 5,,C,,,
,Fischer,,1948,Leaf,7,RC,Notre Dame Fightin' Irish,30,8,,TRUE,FB,ND,VG,,C,,,
,Hale Bruce,,1948,Bowman,15,RC,Indianapolis Jets,50,5,,TRUE,BK,,PSA 5,,C,,,
,Henrich T.,,1948,Bowman,19,,New York Yankees,50,26.8,,TRUE,BS,,PSA 6,,C,,,
,Lujack,,1948,Leaf,13,RC,Chicago Bears,42.5,25,,TRUE,FB,ND,PSA 3,HT,C,,,
,Martin Jim,,1948,Leaf,24,RC,Notre Dame Fightin' Irish,22,18,,TRUE,FB,ND,PSA 4,,C,,,
,Mastrangelo,,1948,Bowman,32,RC,Pittsburgh Steelers,20,20.5,,TRUE,FB,ND,PSA 6,,C,,,
,Mastrangelo,,1948,Bowman,32,RC,Pittsburgh Steelers,40,10,,TRUE,FB,ND,PSA 7,,C,,,
,O'Conner Bucky,,1948,Leaf,89,RC,Notre Dame Fightin' Irish,30,30,,TRUE,FB,ND,PSA 4,,C,,,
,Skoglund,,1948,Bowman,41,RC,Green Bay Packers,20,7,,TRUE,FB,ND,PSA 6,,C,,,
,Tripucka,Frank,1948,Leaf,49,RC,Notre Dame Fightin' Irish,30,1150,,TRUE,FB,ND,PSA 6,,C,,,
,Tripucka,Frank,1948,Leaf,49,RC,Notre Dame Fightin' Irish,30,30,,TRUE,FB,ND,PSA 5,,C,,,
,White Jim,,1948,Leaf,45,RC,New York Giants,15,8,,TRUE,FB,ND,PSA 3 MC,,C,,,
,White Jim,,1948,Bowman,91,RC,New York Giants,12,5,,TRUE,FB,ND,PSA 5,,C,,,
,Angsman,,1949,Leaf,9,,Chicago Cardinals,10,8.7,,TRUE,FB,ND,PSA 3,,C,,,
,Connor George,,1949,Leaf,40,,Chicago Bears,50,18.5,,TRUE,FB,ND,PSA 6,,C,,,
,Fischer,,1949,Leaf,7,,Notre Dame Fightin' Irish,10,8.7,,TRUE,FB,ND,PSA 4,,C,,,
,Pesky,,1949,Bowman,86,FBC,Boston Red Sox,25,6,,TRUE,BS,BRS,EX,,C,,,
,Tripucka,Frank,1949,Leaf,43,,Detroit Lions,17.5,24,,TRUE,FB,ND,PSA 4,,C,,,
,White Jim,,1949,Leaf,39,,New York Giants,10,8.7,,TRUE,FB,ND,PSA 3,,C,,,
,Angsman,,1950,Bowman,21,,Chicago Cardinals,25,13,,TRUE,FB,ND,PSA 6.5,,C,,,
,Angsman,,1950,Bowman,21,,Chicago Cardinals,18,10,,TRUE,FB,ND,PSA 6,,C,,,
,Connor George,,1950,Bowman,97,FBC,Chicago Bears,35,7.05,,TRUE,FB,ND,PSA 6,,C,,,
,Coutre Larry,,1950,Bowman,47,RC,Green Bay Packers,10,15,,TRUE,FB,ND,PSA 5,,C,,,
,Coutre Larry,,1950,Bowman,47,RC,Green Bay Packers,35,13.5,,TRUE,FB,ND,SGC 84 7,,C,,,
,Davis Glenn,,1950,Bowman,16,RC,Los Angeles Rams,65,32.5,,TRUE,FB,HT,PSA 6,,C,,,
,Doll Don,,1950,Bowman,73,,Detroit Lions,10,7.2,,TRUE,FB,,PSA 5,,C,,,
,Fischer,,1950,Bowman,58,FBC,Chicago Cardinals,18,7.5,,TRUE,FB,ND,PSA 6,,C,,,
,Hart Leon,,1950,Bowman,38,FBC,Notre Dame Fightin' Irish,40,32,,TRUE,FB,ND,NRMT ET,HT,C,,,
,Hart Leon,,1950,Bowman,38,FBC,Notre Dame Fightin' Irish,55,18.5,,TRUE,FB,ND,PSA 7,HT,C,,,
,Hoerner Dick,,1950,Bowman,86,,Los Angeles Rams,30,2.5,,TRUE,FB,,PSA 6,,C,,,
,Jenkins Jonathan,,1950,Bowman,4,,Baltimore Colts,18,7.2,,TRUE,FB,,PSA 6,,C,,,
,Kelly George,,1950,Bowman,77,RC,Baltimore Colts,35,40.5,,TRUE,FB,ND,PSA 7,,C,,,
,Kelly George,,1950,Bowman,77,RC,Baltimore Colts,10,8.4,,TRUE,FB,ND,PSA 5,,C,,,
,Kilroy F.,,1950,Bowman,96,,Philadelphia Eagles,35,7.2,,TRUE,FB,,PSA 7,,C,,,
,Leonard Bill,,1950,Bowman,76,RC,Baltimore Colts,35,8.25,,TRUE,FB,ND,PSA 7,,C,,,
,Leonard Bill,,1950,Bowman,76,RC,Baltimore Colts,7.5,2.8,,TRUE,FB,ND,PSA 4,,C,,,
,Lujack,,1950,Bowman,26,,Chicago Bears,45,24,,TRUE,FB,ND,PSA 6,HT,C,,,
,Martin Jim,,1950,Bowman,44,,Cleveland Browns,18,7.75,,TRUE,FB,ND,PSA 6,,C,,,
,Naumetz Freed,,1950,Bowman,85,,Los Angeles Rams,30,2.5,,TRUE,FB,,PSA 4,,C,,,
,Panelli,,1950,Bowman,75,RC,Detroit Lions,35,20,,TRUE,FB,ND,PSA 7,,C,,,
,Panelli,,1950,Bowman,75,RC,Detroit Lions,7.5,4,,TRUE,FB,ND,PSA 4,,C,,,
,Pesky,,1950,Bowman,137,,Boston Red Sox,25,3,,TRUE,BS,BRS,EX,,C,,,
,Ramsey Garrard,,1950,Bowman,92,,Chicago Cardinals,85,13,,TRUE,FB,,PSA 8,,C,,,
,Ratterman,,1950,Bowman,121,RC,New York Yanks,18,13.5,,TRUE,FB,ND,PSA 6,,C,,,
,Rymkus,,1950,Bowman,116,RC,Cleveland Browns,35,24,,TRUE,FB,ND,PSA 7,,C,,,
,Sears V.,,1950,Bowman,94,,Philadelphia Eagles,10,7.2,,TRUE,FB,,PSA 5,,C,,,
,Sinkovitz,,1950,Bowman,126,,Pittsburgh Steelers,10,7.2,,TRUE,FB,,PSA 5,,C,,,
,Sitko,,1950,Bowman,71,RC,Chicago Cardinals,7.5,16.25,,TRUE,FB,ND,PSA 4,,C,,,
,Sitko,,1950,Bowman,71,RC,Chicago Cardinals,35,10,,TRUE,FB,ND,PSA 7,,C,,,
,Spaniel Frank,,1950,Bowman,102,RC,Washington Redskins,25,22.25,,TRUE,FB,ND,NRMT,WR,C,,,
,Stewart Eddie,,1950,Bowman,143,,Washington Senators,45,7,,TRUE,BS,,PSA 6,,C,,,
,Swistowicz,,1950,Bowman,50,RC,New York Yanks,7.5,6,,TRUE,FB,ND,PSA 4,,C,,,
,Swistowicz,,1950,Bowman,50,RC,New York Yanks,18,5,,TRUE,FB,ND,PSA 6,,C,,,
,Tereshinski,,1950,Bowman,139,,Washington Redskins,18,6.4,,TRUE,FB,,PSA 6,,C,,,
,Tripucka,Frank,1950,Bowman,91,FBC,Chicago Cardinals,18,18.3,,TRUE,FB,ND,PSA 6,,C,,,
,Watson Joe,,1950,Bowman,110,,Detroit Lions,35,2.8,,TRUE,FB,,PSA 7,,C,,,
,Wightkin,,1950,Bowman,63,RC,Chicago Bears,35,20.5,,TRUE,FB,ND,PSA 7,,C,,,
,Zilly,,1950,Bowman,124,RC,Los Angeles Rams,85,47.5,,TRUE,FB,ND,PSA 8,,C,,,
,Zilly,,1950,Bowman,124,RC,Los Angeles Rams,10,8.25,,TRUE,FB,ND,PSA 5,,C,,,
,Angsman,,1951,Bowman,97,,Chicago Cardinals,35,25,,TRUE,FB,ND,PSA 7,,C,,,
,Angsman,,1951,Bowman,97,,Chicago Cardinals,12,7,,TRUE,FB,ND,PSA 4,,C,,,
,Barnes Walter,,1951,Bowman,48,,Philadelphia Eagles,20,13.5,,TRUE,FB,,PSA 6,,C,,,
,Boyd Bob,,1951,Bowman,113,,Los Angeles Rams,12,15.5,,TRUE,FB,,PSA 5,,C,,,
,Cline O.,,1951,Bowman,134,,Detroit Lions,20,15.15,,TRUE,FB,,PSA 6,,C,,,
,Davis Glenn,,1951,Bowman,42,,Los Angeles Rams,35,19.2,,TRUE,FB,HT,PSA 6,,C,,,
,Doby,Larry,1951,Bowman,151,,Cleveland Indians,60,30,,TRUE,BS,,PSA 6,,C,,,
,Faubion,,1951,Topps Magic,63,RC,Kansas State Wildcats,20,5,,TRUE,FB,KSU,VG,,C,,,
,Fischer,,1951,Bowman,65,,Chicago Cardinals,20,10.55,,TRUE,FB,ND,PSA 6,,C,,,
