AirForce,Air Force,Falcons
Akron,Akron,Zips
Alabama,Alabama,Crimson Tide
AlabamaA&M,Alabama A&M,
AlcornState,Alcorn State,
AppalachianState,Appalachian State,Mountaineers
Arizona,Arizona,Wildcats
ArizonaState,Arizona State,Sun Devils
Arkansas,Arkansas,Razorbacks
ArkansasState,Arkansas State,Red Wolves
Army,Army,Black Knights
Auburn,Auburn,Tigers
AugustanaCollegeSD,Augustana College,
BallState,Ball State,Cardinals
Baylor,Baylor,Bears
BoiseState,Boise State,Broncos
BostonUniversity,Boston University,
BostonCollege,Boston College,Eagles
BowlingGreen,Bowling Green,Falcons
Buffalo,Buffalo,Bulls
BYU,BYU,Cougars
CWPost,C.W. Post,
California,California,Golden Bears
Carlisle,Carlisle,Indians
CentralArkansas,Central Arkansas,
CentralFlorida,Central Florida,
CentralMichigan,Central Michigan,Chippewas
Charlotte,Charlotte,49ers
Cincinnati,Cincinnati,Bearcats
ClarkAtlanta,Clark Atlanta,
Clemson,Clemson,Tigers
CoastalCarolina,Coastal Carolina,Chanticleers
Colorado,Colorado,Buffaloes
ColoradoState,Colorado State,Rams
Connecticut,Connecticut,
Duke,Duke,Blue Devils
EastCarolina,East Carolina,Pirates
EasternIllinois,Eastern Illinois,
EasternKentucky,Eastern Kentucky,
EasternMichigan,Eastern Michigan,Eagles
EasternWashington,Eastern Washington,
FIU,FIU,Panthers
Florida,Florida,Gators
FloridaA&M,Florida A&M,
FloridaAtlantic,Florida Atlantic,Owls
FloridaState,Florida State,Seminoles
FresnoState,Fresno State,Bulldogs
GardnerWebb,Gardner Webb,
Georgetown,Georgetown,Hoyas
Georgia,Georgia,Bulldogs
GeorgiaSouthern,Georgia Southern,Eagles
GeorgiaState,Georgia State,Panthers
GeorgiaTech,Georgia Tech,Yellow Jackets
GramblingState,Grambling State University,
Hampton,Hampton,
Hawaii,Hawaii,Rainbow Warriors
HolyCross,Holy Cross,
Houston,Houston,Cougars
Howard,Howard University,
Idaho,Idaho,
Illinois,Illinois,Fighting Illini
Indiana,Indiana,Hoosiers
IndianaState,Indiana State,
Iowa,Iowa,Hawkeyes
IowaState,Iowa State,Cyclones
JacksonState,Jackson State,
JamesMadison,James Madison,Dukes
Kansas,Kansas,Jayhawks
KansasState,Kansas State,Wildcats
KentState,Kent State,Golden Flashes
Kentucky,Kentucky,Wildcats
LenoirRhyne,Lenoir Rhyne,
Liberty,Liberty,Flames
Louisiana,Louisiana,Ragin' Cajuns
LouisianaMonroe,Louisiana-Monroe,Warhawks
LouisianaTech,Louisiana Tech,Bulldogs
Louisville,Louisville,Cardinals
LSU,LSU,Tigers
Marshall,Marshall,Thundering Herd
Maryland,Maryland,Terrapins
Massachusetts,Massachusetts,Minutemen
McNeeseState,McNeese State,
Memphis,Memphis,Tigers
MiamiFL,Miami (FL),Hurricanes
MiamiOH,Miami (OH),RedHawks
Michigan,Michigan,Wolverines
MichiganState,Michigan State,Spartans
MiddleTennessee,Middle Tennessee,Blue Raiders
Minnesota,Minnesota,Golden Gophers
MississippiState,Mississippi State,Bulldogs
MississippiValleyState,Mississippi Valley State,
Missouri,Missouri,Tigers
MontanaState,Montana State,
Navy,Navy,Midshipmen
NCState,NC State,Wolfpack
Nebraska,Nebraska,Cornhuskers
NELouisiana,Northeast Louisiana,
Nevada,Nevada,Wolf Pack
NewHampshire,New Hampshire,
NewMexico,New Mexico,Lobos
NewMexicoState,New Mexico State,Aggies
MorganState,Morgan State,
NIU,NIU,
NorthCarolina,North Carolina,Tar Heels
NorthCarolinaA&T,North Carolina A&T,
NorthernIllinois,Northern Illinois,Huskies
NorthernIowa,Northern Iowa,
NorthTexas,North Texas,Mean Green
Northwestern,Northwestern,Wildcats
NorthwesternStateLouisiana,Northwestern State-Louisiana,
NotreDame,Notre Dame,Fighting Irish
NWStateLA,NW State LA,
Ohio,Ohio,Bobcats
OhioState,Ohio State,Buckeyes
Oklahoma,Oklahoma,Sooners
OklahomaState,Oklahoma State,Cowboys
OldDominion,Old Dominion,Monarchs
OleMiss,Ole Miss,Rebels
Oregon,Oregon,Ducks
OregonState,Oregon State,Beavers
PacificCollege,Pacific College,
PennState,Penn State,Nittany Lions
Pittsburgh,Pittsburgh,Panthers
PittsburgStateKS,Pittsburg State,
PrairieView,Prairie View,
Princeton,Princeton,Tigers
Purdue,Purdue,Boilermakers
Rice,Rice,Owls
Rutgers,Rutgers,Scarlet Knights
SacramentoState,Sacramento State,
SanDiegoState,San Diego State,Aztecs
SanFrancisco,San Francisco,
SanJoseState,San Jose State,Spartans
Seattle,Seattle,Redhawks
SMU,SMU,Mustangs
SonomaState,Sonoma State,
SouthAlabama,South Alabama,Jaguars
SouthCarolina,South Carolina,Gamecocks
SouthCarolinaState,South Carolina State,
SouthDakotaState,South Dakota State,
SouthernMiss,Southern Miss,Golden Eagles
SouthernMississippi,Southern Mississippi,
SouthFlorida,South Florida,Bulls
Stanford,Stanford,Cardinal
Syracuse,Syracuse,Orange
TCU,TCU,Horned Frogs
Temple,Temple,Owls
Tennessee,Tennessee,Volunteers
TennesseeState,Tennessee State,
Texas,Texas,Longhorns
TexasA&M,Texas A&M,Aggies
TexasA&MKingsville,Texas A&M Kingsville,
TexasElPaso,Texas-ElPaso,
TexasSouthern,Texas Southern,
TexasState,Texas State,Bobcats
TexasTech,Texas Tech,Red Raiders
Toledo,Toledo,Rockets
Towson,Towson,
Troy,Troy,Trojans
TroyState,Troy State,
Tulane,Tulane,Green Wave
Tulsa,Tulsa,Golden Hurricane
UAB,UAB,Blazers
UCF,UCF,Knights
UCLA,UCLA,Bruins
UConn,UConn,Huskies
UMass,UMass,Minutemen
UNLV,UNLV,Rebels
USC,USC,Trojans
Utah,Utah,Utes
UtahState,Utah State,Aggies
UTEP,UTEP,Miners
UTSA,UTSA,Roadrunners
ValdostaState,Valdosta State,
Vanderbilt,Vanderbilt,Commodores
Virginia,Virginia,Cavaliers
VirginiaTech,Virginia Tech,Hokies
WakeForest,Wake Forest,Demon Deacons
Washington,Washington,Huskies
WashingtonState,Washington State,Cougars
WayneState,Wayne State,
WestChester,WestChester,
WestChesterPA,WestChesterPA,
WesternCarolina,Western Carolina,
WesternIllinois,Western Illinois,
WesternKentucky,Western Kentucky,Hilltoppers
WesternMichigan,Western Michigan,Broncos
WestVirginia,West Virginia,Mountaineers
Wisconsin,Wisconsin,Badgers
WisconsinLaCrosse,Wisconsin LaCrosse,
Wyoming,Wyoming,Cowboys
Yale,Yale,Bulldogs
