AaronHank,Aaron,Hank,,,1,,,
Abbott K.,Abbott,Kyle,,,,,,
Abdul-JabbarKareem,Abdul-Jabbar,Kareem,,,1,,,UCLA
Abdul-JabbarKarim,Abdul-Jabbar,Karim,,,,,,
Abendschan,Abendschan,,,,,,,
Abiamiri Victor,Abiamiri,Victor,,,,,,
Abid R.,Abid R.,,,,,,,
Achica,Achica,,,,,,,
Acoin Keith,Acoin,Keith,,,,,,
Adams Greg A.,Adams,Greg,,,,,,
Adams John,Adams,John,,,,,,
Adams Sam,Adams,Sam,,,,,,
Adamson Ken,Adamson,Ken,,,,,,
AdderleyHerb,Adderley,Herb,,,1,,,MichiganState
Adickes,Adickes,,,,,,,
Adleman,Adleman,,,,,,,
Afinogenov,Afinogenov,,,,,,,
Afr Tamer,Afr Tamer,,,,,,,
AikmanTroy,Aikman,Troy,,,1,,,UCLA
AingeDanny,Ainge,Danny,,,,,1,BYU
Akers,Akers,,,,,,,
Alantz,Alantz,,,,,,,
Ale,Ale,,,,,,,
Alexander E.,Alexander E.,,,,,,,
Alexander G.C.,Alexander,Grover,Cleveland,,1,,,
Alexeyev,Alexeyev,,,,,,,
Allen Andrew,Allen,Andrew,,,,,,
Allen Armando,Allen,Armando,,,,,,
Allen Bryan,Allen,Bryan,,,,,,
Allen C.,Allen C.,,,,,,,
Allen Chris,Allen,Chris,,,,,,
Allen Damon,Allen,Damon,,,,,,
Allen J.,Allen J.,,,,,,,
Allen P.,Allen P.,,,,,,,
Allen R.,Allen R.,,,,,,,
AllenMarcus,Allen,Marcus,,,1,1,,USC
AllenRay,Allen,Ray,,,,,1,
Allison J.,Allison J.,,,,,,,
Alm,Alm,Jeff,,,,,,NotreDame
AlomarRoberto,Alomar,Roberto,,,1,,,
AlouMoises,Alou,Moises,,,,,1,
Alphin,Alphin,,,,,,,
AlworthLance,Alworth,Lance,,,1,,,Arkansas
AlzadoLyle,Alzado,Lyle,,,,,,
Alzner Karl,Alzner,Karl,,,,,,
Amonte,Amonte,Tony,,,,,,
Anderson Craig,Anderson,Craig,,,,,,
Anderson E.,Anderson E.,,,,,,,
Anderson G.,Anderson G.,,,,,,,
Anderson H.,Anderson H.,,,,,,,
Anderson J.,Anderson J.,,,,,,,
Anderson Ron,Anderson,Ron,,,,,,
AndersonDick,Anderson,Dick,,,,,1,Colorado
AndersonGary,Anderson,Gary,,,,,,
AndersonKen,Anderson,Ken,,,,,,
AndersonSparky,Anderson,Sparky,,,1,,,
AndreychukDave,Andreychuk,Dave,,,1,,,
Andrievski,Andrievski,,,,,,,
Andruski,Andruski,,,,,,,
Andrusyshyn,Andrusyshyn,,,,,,,
Andrysiak,Andrysiak,,,,,,,
Angsman,Angsman,Elmer,,,,,,NotreDame
Anson Cap,Anson,Cap,,,1,,,
Anthony R.,Anthony R.,,,,,,,
Antropov N.,Antropov N.,,,,,,,
Archambeault,Archambeault,,,,,,,
Archer David,Archer,David,,,,,,
ArchibaldNate,Archibald,Nate,,,1,,,UTEP
Arden,Arden,,,,,,,
Arizin,Arizin,Paul,,,1,,,
Arkhipov,Arkhipov,,,,,,,
Armbrister,Armbrister,,,,,,,
Arnett John,Arnett,John,,,,,,
Arnott,Arnott,,,,,,,
Arnzen,Arnzen,,,,,,,
Arrington D.,Arrington D.,,,,,,,
Arrington R.,Arrington R.,,,,,,,
Atkinson S.,Atkinson S.,,,,,,,
Attkinson George III,Attkinson,George,,III,,,,
Au You,Au You,,,,,,,
Aubrey L.,Aubrey L.,,,,,,,
Audette,Audette,,,,,,,
Auld,Auld,,,,,,,
Austin Kent,Austin,Kent,,,,,,
Avery,Avery,Steve,,,,,,
Aydelette,Aydelette,,,,,,,
Aydette,Aydette,,,,,,,
Ayers Ryan,Ayers,Ryan,,,,,,
Babey,Babey,,,,,,,
Babin Noah,Babin,Noah,,,,,,
Bach R.,Bach R.,,,,,,,
Backes David,Backes,David,,,,,,
Backstrom Nicklas,Backstrom,Nicklas,,,,,,
Badaczewski John,Badaczewski,John,,,,,,
Baerga,Baerga,Carlos,,,,,,
