Acadie-Bathurst Titan (QMJHL),Acadie-Bathurst,Titan,Hockey,
Adirondack Red Wings (AHL),Adirondack,Red Wings,Hockey,
AIK Solna (SWE),AIK,Solna,Hockey,
Alabama Crimson Tide,Alabama,Crimson Tide,Basketball,NCAAB
Alabama Crimson Tide,Alabama,Crimson Tide,Football,NCAAF
Albany Choppers (IHL),Albany,Choppers,Hockey,
Albany River Rats (AHL),Albany,River Rats,Hockey,
Amsterdam Admirals (NFLE),Amsterdam,Admirals,Football,
Anaheim Angels,Anaheim,Angels,Baseball,MLB
AnaheimDucks,Anaheim,Ducks,Hockey,NHL
Arizona Cardinals,Arizona,Cardinals,Football,NFL
Arizona Diamondbacks,Arizona,Diamondbacks,Baseball,MLB
Arizona Outlaws,Arizona,Outlaws,Football,USFL
Arizona Wranglers,Arizona,Wranglers,Football,USFL
Arkansas Razorbacks,Arkansas,Razorbacks,Basketball,NCAAB
Arkansas Razorbacks,Arkansas,Razorbacks,Football,NCAAF
Army Cadets,Army,Cadets,Basketball,NCAAB
Army Cadets,Army,Cadets,Football,NCAAF
Assat Pori (FIN),Assat,Pori,,
Atlanta Braves,Atlanta,Braves,Baseball,MLB
Atlanta Falcons,Atlanta,Falcons,Football,NFL
Atlanta Hawks,Atlanta,Hawks,Basketball,NBA
Atlanta Knights (IHL),Atlanta,Knights,Hockey,
Atlanta Thrashers,Atlanta,Thrashers,Hockey,NHL
Augusta Lynx (ECHL),Augusta,Lynx,Hockey,
Aviator,Aviator,,,
Baltimore Bullets,Baltimore,Bullets,Basketball,NBA
Baltimore Colts,Baltimore,Colts,Football,NFL
Baltimore Orioles,Baltimore,Orioles,Baseball,MLB
Baltimore Ravens,Baltimore,Ravens,Football,NFL
Baltimore Skipjacks (AHL),Baltimore,Skipjacks,Hockey,
Baltimore Stallions,Baltimore,Stallions,Football,
Baltimore Stars,Baltimore,Stars,Football,USFL
Barcelona Dragons,Barcelona,Dragons,,
Barrie Colts (OHL),Barrie,Colts,Hockey,
Baylor University Bears,Baylor,Bears,Basketball,NCAAB
Baylor University Bears,Baylor,Bears,Football,NCAAF
Beauport Harfangs (QMJHL),Beauport,Harfangs,Hockey,
Belleville Bulls (OHL),Belleville,Bulls,Hockey,
Bellingham Spirit (AA),Bellingham,Spirit,Baseball,
Binghamton Rangers (AHL),Binghamton,Rangers,Hockey,
Binghamton Senators (AHL),Binghamton,Senators,Hockey,
Birmingham Barons (AA),Birmingham,Barons,Baseball,
Birmingham Stallions,Birmingham,Stallions,Football,USFL
Boston Bees,Boston,Bees,,
Boston Braves,Boston,Braves,Football,NFL
Boston Bruins,Boston,Bruins,Hockey,NHL
Boston Celtics,Boston,Celtics,Basketball,NBA
Boston College Eagles,Boston College,Eagles,Basketball,NCAAB
Boston College Eagles,Boston College,Eagles,Football,NCAAF
Boston Patriots,Boston,Patriots,Football,NFL
Boston Red Sox,Boston,Red Sox,Baseball,MLB
Boston Yanks,Boston,Yanks,,
Brampton Battalion (OHL),Brampton,Battalion,Hockey,
Brandon Wheat Kings (WHL),Brandon,Wheat,Hockey,
Breeze Milan (Italy),Breeze,Milan,,
British Columbia Lions,British Columbia,Lions,Football,
Brooklyn Dodgers,Brooklyn,Dodgers,Baseball,MLB
Buffalo Bills,Buffalo,Bills,Football,NFL
Buffalo Braves,Buffalo,Braves,Basketball,NBA
Buffalo Sabres,Buffalo,Sabres,Hockey,NHL
Calgary Cowboys,Calgary,Cowboys,,
Calgary Flames,Calgary,Flames,Hockey,NHL
Calgary Hitmen (WHL),Calgary,Hitmen,Hockey,
Calgary Stampeders,Calgary,Stampeders,Football,
California Angels,California,Angels,Baseball,MLB
California Golden Seals,California,Golden Seals,,
Canton Bulldogs,Canton,Bulldogs,,
